Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
461,Bob Tewksbury,33,STL,155.2,,24,667,626,97,190,42,6,19,14,3,22,79,0.304,0.328,0.481,0.809,0.321,301,13,3,12,4,1,8
462,Bobby Thigpen,30,SEA,7.2,,7,40,34,9,12,4,0,3,0,0,5,4,0.353,0.436,0.735,1.171,0.333,25,0,0,1,0,0,0
463,Mark Thompson,23,COL,9,,2,49,40,9,16,4,2,2,3,0,8,5,0.4,0.51,0.75,1.26,0.424,30,2,1,0,0,0,0
464,Mike Timlin,28,TOR,40,,34,179,157,25,41,7,0,5,3,0,20,38,0.261,0.352,0.401,0.753,0.316,63,6,2,0,0,0,1
465,Andy Tomberlin*,27,BOS,2,,1,8,7,0,1,0,0,0,0,0,1,1,0.143,0.25,0.143,0.393,0.167,1,0,0,0,0,0,0
466,Randy Tomlin*,28,PIT,20.2,,10,89,79,9,23,3,1,1,0,2,10,17,0.291,0.371,0.392,0.763,0.361,31,4,0,0,0,0,0
467,Salomón Torres,22,SFG,84.1,,16,378,325,55,95,21,3,10,4,4,34,42,0.292,0.364,0.468,0.831,0.302,152,7,7,4,8,2,3
468,Steve Trachsel,23,CHC,146,,22,612,549,57,133,20,6,19,7,8,54,108,0.242,0.312,0.404,0.716,0.268,222,9,3,3,3,4,6
469,Ricky Trlicek,25,BOS,22.1,,12,113,97,21,32,4,0,5,1,0,16,7,0.33,0.425,0.526,0.951,0.318,51,0,0,0,0,2,1
470,Mike Trombley,27,MIN,48.1,,24,219,195,36,56,13,0,10,3,2,18,32,0.287,0.353,0.508,0.861,0.297,99,2,3,1,2,2,4
471,Matt Turner,27,CLE,12.2,,9,65,54,6,13,4,0,0,1,1,7,5,0.241,0.359,0.315,0.674,0.265,17,0,3,1,0,0,5
472,Tom Urbani*,26,STL,80.1,,20,354,325,48,98,22,2,12,3,6,21,43,0.302,0.348,0.492,0.84,0.316,160,9,3,3,2,0,5
473,Ismael Valdez,20,LAD,28.1,,21,115,102,10,21,4,2,2,4,0,10,28,0.206,0.277,0.343,0.62,0.264,35,1,0,3,0,2,0
474,Sergio Valdez,29,BOS,14.1,,12,72,64,14,25,3,0,4,4,1,8,4,0.391,0.458,0.625,1.083,0.375,40,0,0,0,0,1,1
475,Fernando Valenzuela*,33,PHI,45,,8,182,170,16,42,8,0,8,2,2,7,19,0.247,0.274,0.435,0.709,0.234,74,1,0,3,2,1,2
476,Tim Van Egmond,25,BOS,38.1,,7,173,149,27,38,6,2,7,6,0,21,22,0.255,0.341,0.463,0.804,0.252,69,3,0,0,3,3,2
477,Todd Van Poppel,22,OAK,116.2,,23,532,432,80,108,23,2,20,9,3,89,83,0.25,0.379,0.451,0.83,0.264,195,10,3,4,4,2,4
478,William VanLandingham,23,SFG,84,,16,363,314,37,70,18,1,4,15,3,43,56,0.223,0.319,0.325,0.644,0.259,102,5,2,3,1,4,7
479,Dave Veres,27,HOU,41,,32,168,158,13,39,5,1,4,4,1,7,28,0.247,0.28,0.367,0.647,0.273,58,1,1,0,2,3,1
480,Randy Veres,28,CHC,9.2,,10,43,39,6,12,1,0,3,1,0,2,5,0.308,0.349,0.564,0.913,0.281,22,1,1,0,1,0,0
481,Frank Viola*,34,BOS,31,,6,136,115,17,34,8,2,2,3,3,17,9,0.296,0.381,0.452,0.833,0.302,52,6,0,2,2,0,2
482,Ed Vosberg*,32,OAK,13.2,,16,56,50,7,16,2,1,2,1,2,5,12,0.32,0.382,0.52,0.902,0.389,26,3,0,1,0,0,0
483,Paul Wagner,26,PIT,119.2,,29,534,464,69,136,27,1,7,12,5,50,86,0.293,0.369,0.401,0.77,0.344,186,11,8,8,4,4,3
484,Bruce Walton,31,COL,5.1,,4,26,22,5,6,2,0,1,1,0,3,1,0.273,0.36,0.5,0.86,0.25,11,0,0,1,0,1,1
485,Allen Watson*,23,STL,115.2,,22,523,455,73,130,34,4,15,17,5,53,74,0.286,0.37,0.477,0.847,0.314,217,10,8,7,0,0,3
486,Gary Wayne*,31,LAD,17.1,,19,79,68,13,19,3,1,2,0,1,6,10,0.279,0.359,0.441,0.8,0.298,30,2,3,1,1,2,1
487,David Weathers,24,FLA,135,,24,621,542,87,166,21,6,13,4,5,59,72,0.306,0.376,0.439,0.815,0.332,238,19,4,12,4,9,11
488,Bill Wegman,31,MIL,115.2,,19,500,462,64,140,29,5,14,5,4,26,59,0.303,0.339,0.478,0.817,0.319,221,15,2,4,6,0,9
489,Bob Welch,37,OAK,68.2,,25,325,272,56,79,16,3,10,5,4,43,44,0.29,0.384,0.482,0.866,0.311,131,2,1,5,4,2,4
490,Bob Wells,27,TOT,9,,7,38,33,2,8,2,0,0,1,1,4,6,0.242,0.342,0.303,0.645,0.296,10,1,1,0,0,0,0
491,Bob Wells,27,PHI,5,,6,21,17,1,4,1,0,0,1,1,3,3,0.235,0.381,0.294,0.675,0.286,5,1,1,0,0,0,0
492,Bob Wells,27,SEA,4,,1,17,16,1,4,1,0,0,0,0,1,3,0.25,0.294,0.313,0.607,0.308,5,0,0,0,0,0,0
493,David Wells*,31,DET,111.1,,16,464,434,54,113,23,2,13,8,6,24,71,0.26,0.302,0.412,0.714,0.285,179,5,2,3,1,6,6
494,Turk Wendell,27,CHC,14.1,,6,76,63,20,22,6,0,3,1,0,10,9,0.349,0.432,0.587,1.02,0.365,37,0,0,2,1,1,1
495,Bill Wertz,27,CLE,4.1,,1,23,22,5,9,5,0,0,0,0,1,1,0.409,0.435,0.636,1.071,0.429,14,0,0,0,0,0,0
496,David West*,29,PHI,99,,31,429,361,44,74,20,0,7,10,2,61,83,0.205,0.32,0.319,0.639,0.245,115,3,1,4,2,2,2
497,John Wetteland,27,MON,63.2,,52,261,228,22,46,5,3,5,6,0,21,68,0.202,0.273,0.316,0.589,0.258,72,4,3,5,4,4,2
498,Gabe White*,22,MON,23.2,,7,106,92,16,24,10,2,4,5,1,11,17,0.261,0.343,0.543,0.886,0.278,50,1,1,1,1,0,1
499,Rick White,25,PIT,75.1,,43,317,282,35,79,13,3,9,0,0,17,38,0.28,0.329,0.443,0.772,0.292,125,12,6,7,5,3,3
500,Wally Whitehurst,30,SDP,64,,13,294,263,37,84,12,2,8,5,5,26,43,0.319,0.383,0.471,0.854,0.358,124,5,1,4,0,4,5
501,Matt Whiteside,26,TEX,61,,47,272,238,40,68,12,0,6,2,2,28,37,0.286,0.361,0.412,0.772,0.315,98,9,1,3,2,3,3
502,Bob Wickman,25,NYY,70,,53,286,253,26,54,10,2,3,2,1,27,56,0.213,0.287,0.304,0.591,0.256,77,9,1,0,5,3,5
503,Brian Williams,25,HOU,78.1,1,20,384,327,64,112,24,1,9,6,4,41,49,0.343,0.416,0.505,0.921,0.376,165,9,4,7,5,4,6
504,Mike Williams,25,PHI,50.1,,12,222,197,31,61,12,1,7,4,3,20,29,0.31,0.368,0.487,0.855,0.329,96,8,0,2,3,3,3
505,Mitch Williams*,29,HOU,20,,25,106,78,17,21,2,0,4,2,0,24,21,0.269,0.442,0.449,0.891,0.315,35,1,1,2,1,2,0
506,Woody Williams,27,TOR,59.1,,38,253,215,24,44,11,1,5,5,1,33,56,0.205,0.313,0.335,0.648,0.25,72,4,2,1,2,1,0
507,Mark Williamson,34,BAL,67.1,,28,291,270,33,75,15,2,9,4,1,17,28,0.278,0.323,0.448,0.771,0.281,121,4,2,0,2,1,2
508,Carl Willis,33,MIN,59.1,,49,282,266,48,89,21,0,6,3,2,12,37,0.335,0.359,0.481,0.841,0.367,128,2,0,1,3,5,8
509,Bobby Witt,30,OAK,135.2,,24,618,534,88,151,20,5,22,10,10,70,111,0.283,0.367,0.463,0.829,0.316,247,9,5,2,7,4,6
510,Mark Wohlers,24,ATL,51,,51,236,193,35,51,10,4,1,7,2,33,58,0.264,0.362,0.373,0.735,0.357,72,2,0,4,6,9,5
511,Brad Woodall*,25,ATL,6,,1,24,22,3,5,2,0,2,1,0,2,2,0.227,0.292,0.591,0.883,0.167,13,1,0,0,0,0,0
512,Tim Worrell,26,SDP,14.2,,3,59,53,7,9,3,1,0,1,0,5,14,0.17,0.237,0.264,0.501,0.225,14,0,0,0,1,0,1
513,Todd Worrell,34,LAD,42,,38,173,157,21,37,9,1,4,6,0,12,44,0.236,0.291,0.382,0.673,0.297,60,0,1,1,2,1,1
514,Anthony Young,28,CHC,114.2,,20,474,419,57,103,26,3,12,9,6,46,65,0.246,0.318,0.408,0.726,0.264,171,15,0,6,3,2,5
