Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
362,Brad Pennington*,25,BAL,6,,8,35,26,8,9,2,0,2,1,1,8,7,0.346,0.5,0.654,1.154,0.412,17,0,0,1,0,0,1
363,Melido Perez,28,NYY,151.1,,22,632,563,74,134,32,4,16,9,7,58,109,0.238,0.311,0.394,0.705,0.268,222,7,3,5,3,5,9
364,Mike Pérez,29,STL,31,,36,155,133,32,52,8,1,5,2,0,10,20,0.391,0.43,0.579,1.009,0.416,77,5,3,4,5,1,2
365,Yorkis Pérez*,26,FLA,40.2,,44,167,150,18,33,7,1,4,1,0,14,41,0.22,0.291,0.36,0.651,0.276,54,2,1,2,0,3,2
366,Steve Phoenix,26,OAK,4.1,,2,19,17,3,4,0,1,0,0,1,2,3,0.235,0.316,0.353,0.669,0.286,6,0,0,0,0,0,0
367,Hipólito Pichardo,24,KCR,67.2,,45,303,265,42,82,18,2,4,1,2,24,36,0.309,0.379,0.438,0.817,0.344,116,11,7,4,2,5,3
368,Erik Plantenberg*,25,SEA,7,,6,31,23,0,4,0,0,0,0,1,7,1,0.174,0.387,0.174,0.561,0.182,4,0,1,0,0,0,1
369,Dan Plesac*,32,CHC,54.2,,54,235,219,30,61,11,1,9,2,2,13,53,0.279,0.321,0.461,0.782,0.329,101,5,1,1,1,0,4
370,Eric Plunk,30,CLE,71,,41,306,264,25,61,10,4,3,12,3,37,73,0.231,0.329,0.333,0.662,0.307,88,5,2,2,1,5,2
371,Jim Poole*,28,BAL,20.1,,38,100,86,15,32,5,1,4,0,2,11,18,0.372,0.43,0.593,1.023,0.418,51,2,0,0,3,2,0
372,Mark Portugal,31,SFG,137.1,,21,580,519,68,135,19,2,17,13,5,45,87,0.26,0.324,0.403,0.727,0.282,209,13,6,6,4,2,6
373,Ross Powell*,26,HOU,7.1,,12,32,25,1,6,0,0,0,0,0,5,5,0.24,0.387,0.24,0.627,0.3,6,1,1,1,0,0,0
374,Tim Pugh,27,CIN,47.2,,10,227,191,37,60,7,3,5,5,1,26,24,0.314,0.396,0.461,0.856,0.329,88,5,3,2,5,0,3
375,Carlos Pulido*,22,MIN,84.1,,19,366,319,57,87,25,2,17,4,7,40,32,0.273,0.352,0.524,0.875,0.255,167,10,1,2,4,1,3
376,Paul Quantrill,25,TOT,53,,35,236,208,31,64,15,0,7,3,3,15,28,0.308,0.364,0.481,0.844,0.324,100,5,5,5,3,4,2
377,Paul Quantrill,25,BOS,23,,17,101,90,10,25,5,0,4,1,0,5,15,0.278,0.323,0.467,0.79,0.288,42,1,2,2,2,1,1
378,Paul Quantrill,25,PHI,30,,18,135,118,21,39,10,0,3,2,3,10,13,0.331,0.394,0.492,0.885,0.35,58,4,3,3,1,3,1
379,Pat Rapp,26,FLA,133.1,,24,584,496,67,132,21,7,13,10,13,69,75,0.266,0.361,0.415,0.776,0.289,206,17,7,8,4,3,11
380,Jeff Reardon,38,NYY,9.2,,11,48,44,9,17,2,1,3,0,0,3,4,0.386,0.426,0.682,1.107,0.378,30,1,0,1,0,0,0
381,Rick Reed,29,TEX,16.2,,4,75,67,13,17,5,0,3,0,1,7,12,0.254,0.333,0.463,0.796,0.269,31,0,1,0,0,0,1
382,Steve Reed,29,COL,64,,61,297,258,33,79,12,7,9,4,2,26,51,0.306,0.374,0.512,0.885,0.341,132,6,6,0,7,3,6
383,Mike Remlinger*,28,NYM,54.2,,10,252,211,30,55,13,0,9,3,2,35,33,0.261,0.364,0.45,0.814,0.267,95,2,1,2,3,4,3
384,Carlos Reyes,25,OAK,78,,27,344,293,38,71,20,2,10,7,5,44,57,0.242,0.342,0.427,0.769,0.266,125,7,2,2,3,1,4
385,Shane Reynolds,26,HOU,124,,33,517,486,46,128,13,4,10,7,3,21,110,0.263,0.302,0.368,0.67,0.322,179,12,6,4,0,3,7
386,Armando Reynoso,28,COL,52.1,,9,226,194,30,54,10,3,5,1,2,22,25,0.278,0.366,0.438,0.804,0.295,85,4,6,2,2,1,2
387,Arthur Rhodes*,24,BAL,52.2,,10,238,201,34,51,9,2,8,4,1,30,47,0.254,0.352,0.438,0.79,0.289,88,2,2,2,3,1,1
388,Dave Righetti*,35,TOT,20.1,,20,102,79,23,22,3,1,5,3,1,19,14,0.278,0.416,0.532,0.947,0.274,42,1,1,1,2,0,0
389,Dave Righetti*,35,OAK,7,,7,42,31,13,13,1,0,3,0,1,9,4,0.419,0.548,0.742,1.29,0.4,23,1,1,0,1,0,0
390,Dave Righetti*,35,TOR,13.1,,13,60,48,10,9,2,1,2,3,0,10,10,0.188,0.322,0.396,0.718,0.189,19,0,0,1,1,0,0
391,José Rijo,29,CIN,172.1,2,26,733,667,73,177,31,4,16,22,8,52,171,0.265,0.321,0.396,0.717,0.334,264,12,4,7,2,1,5
392,Bill Risley,27,SEA,52.1,,37,203,182,20,31,9,2,7,4,0,19,61,0.17,0.246,0.357,0.603,0.207,65,3,0,0,2,4,0
393,Kevin Ritz,29,COL,73.2,,15,335,290,49,88,25,2,5,6,3,35,53,0.303,0.384,0.455,0.839,0.355,132,7,4,4,2,4,2
394,Ben Rivera,26,PHI,38,,9,176,146,29,40,8,1,7,5,3,22,19,0.274,0.371,0.486,0.857,0.273,71,2,1,6,1,0,4
395,Rich Robertson*,25,PIT,15.2,,8,76,64,12,20,6,1,2,2,0,10,8,0.313,0.4,0.531,0.931,0.327,34,1,0,1,1,4,0
396,Rich Rodriguez*,31,STL,60.1,,56,260,230,30,62,14,2,6,3,2,26,43,0.27,0.345,0.426,0.771,0.308,98,6,1,2,1,4,1
397,Kenny Rogers*,29,TEX,167.1,,24,714,650,93,169,38,4,24,4,6,52,120,0.26,0.315,0.442,0.757,0.283,287,17,3,3,6,1,13
398,Kevin Rogers*,25,SFG,10.1,,9,46,40,4,10,3,0,1,0,0,6,7,0.25,0.348,0.4,0.748,0.281,16,1,0,0,0,0,0
399,Mel Rojas,27,MON,84,,58,341,313,35,71,7,0,11,10,1,21,84,0.227,0.283,0.355,0.638,0.274,111,7,4,2,1,0,3
400,John Roper,22,CIN,92,,16,390,353,49,90,25,1,16,8,1,30,51,0.255,0.318,0.467,0.785,0.256,165,11,4,0,3,0,3
401,Kirk Rueter*,23,MON,92.1,,20,397,360,60,106,20,0,11,4,5,23,50,0.294,0.335,0.442,0.777,0.311,159,10,2,6,6,1,6
402,Scott Ruffcorn,24,CHW,6.1,,2,39,33,11,15,2,1,1,4,0,5,3,0.455,0.513,0.667,1.179,0.467,22,0,0,0,1,0,0
403,Bruce Ruffin*,30,COL,55.2,,56,252,217,28,55,9,0,6,5,1,30,65,0.253,0.343,0.378,0.721,0.329,82,4,1,1,3,2,4
404,Johnny Ruffin,22,CIN,70,,51,287,256,26,57,8,3,7,2,0,27,44,0.223,0.295,0.359,0.654,0.242,92,4,0,2,2,3,2
405,Jeff Russell,32,TOT,40.2,,42,179,160,25,43,7,0,5,3,0,16,28,0.269,0.335,0.406,0.741,0.295,65,6,1,0,2,2,3
406,Jeff Russell,32,BOS,28,,29,127,111,17,30,6,0,3,3,0,13,18,0.27,0.346,0.405,0.752,0.293,45,3,1,0,2,2,2
407,Jeff Russell,32,CLE,12.2,,13,52,49,8,13,1,0,2,0,0,3,10,0.265,0.308,0.408,0.716,0.297,20,3,0,0,0,0,1
408,Ken Ryan,25,BOS,48,,42,202,180,14,46,9,1,1,4,1,17,32,0.256,0.323,0.333,0.657,0.306,60,8,1,4,0,3,1
409,Bret Saberhagen,30,NYM,177.1,2,24,696,665,58,169,37,7,13,8,4,13,143,0.254,0.271,0.389,0.66,0.304,259,17,4,9,5,0,4
410,A.J. Sager,29,SDP,46.2,,22,217,191,34,62,15,1,4,5,2,16,26,0.325,0.379,0.476,0.856,0.356,91,3,2,6,2,5,6
411,Roger Salkeld,23,SEA,59,,13,291,242,47,76,15,4,7,5,2,45,46,0.314,0.419,0.496,0.915,0.359,120,2,1,0,3,1,0
