Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
723,Mark Smith,24,BAL,AL,-0.1,3,7,7,0,1,0,0,0,2,0,0,0,2,0.143,0.143,0.143,0.286,-27,0.13,-55,1,0,0,0,0,0,/9
724,Dan Smith*,25,TEX,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1
725,Willie Smith,26,STL,NL,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1
726,Tim Spehr,27,MON,NL,0.2,52,41,36,8,9,3,1,0,5,2,0,4,11,0.25,0.325,0.389,0.714,85,0.33,78,14,0,0,1,0,0,2H/7
727,Bill Spiers*,28,MIL,AL,0,73,237,214,27,54,10,1,0,17,7,1,19,42,0.252,0.316,0.308,0.625,60,0.292,52,66,5,1,3,0,1,56H/D93
728,Jerry Spradlin#,27,CIN,NL,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1
729,Mike Stanton*,27,ATL,NL,0.1,49,4,3,0,2,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.333,248,0.6,337,2,0,0,1,0,0,1
730,Rick Sutcliffe*,38,STL,NL,-0.1,16,26,23,0,3,1,0,0,1,0,0,0,6,0.13,0.13,0.174,0.304,-21,0.133,-70,4,1,0,3,0,0,1
731,Bill Swift,32,SFG,NL,0.3,18,40,32,5,6,3,0,0,2,0,0,3,5,0.188,0.257,0.281,0.538,44,0.272,47,9,0,0,5,0,0,1/H
732,Greg Swindell,29,HOU,NL,0.3,24,56,44,1,11,3,0,0,0,0,0,0,14,0.25,0.25,0.318,0.568,51,0.249,18,14,0,0,12,0,0,1
733,Jeff Tabaka,30,2TM,NL,0.1,39,2,1,1,1,1,0,0,0,0,0,1,0,1,1,2,3,668,0.986,565,2,0,0,0,0,0,1
733,Jeff Tabaka,30,PIT,NL,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1
733,Jeff Tabaka,30,SDP,NL,0.1,34,2,1,1,1,1,0,0,0,0,0,1,0,1,1,2,3,668,0.986,565,2,0,0,0,0,0,1
734,Jesús Tavárez#,23,FLA,NL,-0.4,17,41,39,4,7,0,0,0,4,1,1,1,5,0.179,0.2,0.179,0.379,0,0.191,-11,7,0,0,1,0,0,/9H87
735,Kerry Taylor,23,SDP,NL,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-148,0,0,0,0,0,0,/1
736,Billy Taylor,32,OAK,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1
737,Dave Telgheder,27,NYM,NL,0,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1
738,Bob Tewksbury,33,STL,NL,0,24,60,54,4,10,2,0,0,3,0,0,2,19,0.185,0.214,0.222,0.437,15,0.199,-11,12,1,0,4,0,0,1
739,Mark Thompson,23,COL,NL,-0.1,2,5,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,-226,0,0,0,1,0,0,/1
740,Randy Tomlin*,28,PIT,NL,0.1,10,6,6,0,3,0,0,0,1,0,0,0,2,0.5,0.5,0.5,1,162,0.45,173,3,0,0,0,0,0,1
741,Salomón Torres,22,SFG,NL,-0.1,16,29,26,2,4,0,0,0,0,0,0,0,12,0.154,0.154,0.154,0.308,-17,0.138,-59,4,0,0,3,0,0,1
742,Steve Trachsel,23,CHC,NL,-0.1,22,52,43,3,8,1,0,0,2,0,1,0,9,0.186,0.205,0.209,0.414,9,0.177,-32,9,2,1,8,0,0,1
743,Jeff Treadway*,31,LAD,NL,0.2,52,78,67,14,20,3,0,0,5,1,1,5,8,0.299,0.351,0.343,0.695,88,0.337,102,23,1,1,4,1,0,H4/5
744,Tom Urbani*,26,STL,NL,0.2,20,29,24,1,6,0,0,0,1,0,0,2,5,0.25,0.308,0.25,0.558,50,0.262,35,6,0,0,3,0,0,1
745,Ismael Valdéz,20,LAD,NL,0,21,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-143,0,0,0,0,0,0,1
746,Fernando Valenzuela*,33,PHI,NL,0.1,8,16,12,0,3,1,0,0,0,0,0,0,2,0.25,0.25,0.333,0.583,50,0.255,9,4,0,0,4,0,0,/1
747,Ty Van Burkleo*,30,COL,NL,-0.1,2,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-159,0,0,0,0,0,0,/3H
748,William VanLandingham,23,SFG,NL,-0.2,16,35,31,1,2,0,0,0,1,0,0,0,17,0.065,0.065,0.065,0.129,-65,0.088,-101,2,0,0,4,0,0,1
749,Gary Varsho*,33,PIT,NL,-0.4,67,90,82,15,21,6,3,0,5,0,1,4,19,0.256,0.307,0.402,0.709,83,0.312,77,33,1,2,2,0,1,H79/83
750,Dave Veres,27,HOU,NL,0.1,32,4,2,0,1,0,0,0,0,0,0,1,1,0.5,0.667,0.5,1.167,218,0.537,289,1,0,0,1,0,0,1
751,Randy Veres,28,CHC,NL,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-142,0,0,0,0,0,0,1
