Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
62,Wil Cordero,22,MON,NL,3.1,110,467,415,65,122,30,3,15,63,16,3,41,62,0.294,0.363,0.489,0.853,119,0.397,131,203,8,6,2,3,3,*6/H
63,Darren Daulton*,32,PHI,NL,2.5,69,292,257,43,77,17,1,15,56,4,1,33,43,0.3,0.38,0.549,0.929,137,0.407,140,141,3,1,0,1,2,2/H
64,Leo Gómez,28,BAL,AL,2.2,84,334,285,46,78,20,0,15,56,0,0,41,55,0.274,0.366,0.502,0.868,117,0.382,116,143,5,3,0,4,0,*5/DH3
65,Shane Mack,30,MIN,AL,3.9,81,347,303,55,101,21,2,15,61,4,1,32,51,0.333,0.402,0.564,0.966,147,0.423,148,171,11,6,1,5,1,78/DH
66,Troy Neel*,28,OAK,AL,1.7,83,320,278,43,74,13,0,15,48,2,3,38,61,0.266,0.357,0.475,0.832,122,0.367,123,132,4,2,1,1,5,3D/H
67,Brian Hunter,26,2TM,NL,-0.4,85,278,256,34,60,16,1,15,57,0,0,17,56,0.234,0.277,0.48,0.757,92,0.328,86,123,3,0,0,5,2,3H/79
67,Brian Hunter,26,PIT,NL,-0.9,76,252,233,28,53,15,1,11,47,0,0,15,55,0.227,0.27,0.442,0.712,81,0.309,71,103,3,0,0,4,2,3H/7
67,Brian Hunter,26,CIN,NL,0.5,9,26,23,6,7,1,0,4,10,0,0,2,1,0.304,0.346,0.87,1.216,205,0.518,223,20,0,0,0,1,0,/9H37
68,Sandy Alomar,28,CLE,AL,2.1,80,320,292,44,84,15,1,14,43,8,4,25,31,0.288,0.347,0.49,0.837,115,0.369,114,143,7,2,0,1,2,*2/H
69,Derek Bell,25,SDP,NL,1.1,108,466,434,54,135,20,0,14,54,24,8,29,88,0.311,0.354,0.454,0.808,112,0.377,122,197,14,1,0,2,5,*8/H
70,Scott Brosius,27,OAK,AL,0.6,96,360,324,31,77,14,1,14,49,2,6,24,57,0.238,0.289,0.417,0.706,87,0.306,84,135,7,2,4,6,0,*5/978H3
71,Steve Buechele,32,CHC,NL,-0.4,104,387,339,33,82,11,1,14,52,1,0,39,80,0.242,0.325,0.404,0.729,90,0.328,87,137,8,4,2,3,2,*5/3H4
72,Eric Karros,26,LAD,NL,0.1,111,448,406,51,108,21,1,14,46,2,0,29,53,0.266,0.31,0.426,0.736,95,0.326,91,173,13,2,0,11,1,*3/H
73,Jeff Kent,26,NYM,NL,2.7,107,452,415,53,121,24,5,14,68,1,4,23,84,0.292,0.341,0.475,0.816,111,0.357,111,197,7,10,1,3,3,*4
74,Scott Leius,28,MIN,AL,0.8,97,391,350,57,86,16,1,14,49,2,4,37,58,0.246,0.318,0.417,0.735,88,0.329,88,146,9,1,1,2,0,*5/H6
75,Mike Macfarlane,30,KCR,AL,1,92,370,314,53,80,17,3,14,47,1,0,35,71,0.255,0.359,0.462,0.821,108,0.364,105,145,9,18,0,3,1,*2/DH
76,Paul Molitor,37,TOR,AL,3.6,115,516,454,86,155,30,4,14,75,20,0,55,48,0.341,0.41,0.518,0.927,138,0.421,141,235,13,1,0,5,4,*D/3
77,Paul Sorrento*,28,CLE,AL,0.8,95,360,322,43,90,14,0,14,62,0,1,34,68,0.28,0.345,0.453,0.799,106,0.35,102,146,7,0,1,3,6,*3/HD
78,Mark Whiten#,27,STL,NL,3.1,92,374,334,57,98,18,2,14,53,10,5,37,75,0.293,0.364,0.485,0.849,121,0.38,126,162,8,1,0,2,9,*9/H
79,Gerónimo Berroa,29,OAK,AL,2.5,96,391,340,55,104,18,2,13,65,7,2,41,62,0.306,0.379,0.485,0.864,131,0.385,132,165,5,3,0,7,0,D7/3H9
80,Ellis Burks,29,COL,NL,1.4,42,165,149,33,48,8,3,13,24,3,1,16,39,0.322,0.388,0.678,1.066,154,0.462,168,101,3,0,0,0,3,8/H
81,Will Clark*,30,TEX,AL,3.6,110,469,389,73,128,24,2,13,80,5,1,71,59,0.329,0.431,0.501,0.932,141,0.412,142,195,5,3,0,6,11,*3/HD
82,Scott Cooper*,26,BOS,AL,1.9,104,406,369,49,104,16,4,13,53,0,3,30,65,0.282,0.333,0.453,0.786,98,0.345,95,167,6,1,1,5,2,*5/H
83,Junior Félix#,26,DET,AL,1.6,86,339,301,54,92,25,1,13,49,1,6,26,76,0.306,0.372,0.525,0.897,129,0.384,128,158,6,8,0,4,2,*9/7H8D
84,Pete Incaviglia,30,PHI,NL,-0.5,80,263,244,28,56,10,1,13,32,1,0,16,71,0.23,0.278,0.439,0.716,82,0.316,75,107,3,1,0,2,3,7H
85,Bo Jackson,31,CAL,AL,0.6,75,224,201,23,56,7,0,13,43,1,0,20,72,0.279,0.344,0.507,0.851,117,0.38,119,102,2,1,0,2,2,7H/D9
86,Javy López,23,ATL,NL,-0.1,80,303,277,27,68,9,0,13,35,0,2,17,61,0.245,0.299,0.419,0.718,84,0.324,84,116,12,5,2,2,0,2/H
87,Edgar Martínez,31,SEA,AL,3.1,89,387,326,47,93,23,1,13,51,6,2,53,42,0.285,0.387,0.482,0.869,122,0.388,123,157,2,3,2,3,3,5D/H
88,Cal Ripken Jr.,33,BAL,AL,4,112,484,444,71,140,19,3,13,75,1,0,32,41,0.315,0.364,0.459,0.823,107,0.368,106,204,17,4,0,4,3,*6
89,Devon White#,31,TOR,AL,2.4,100,435,403,67,109,24,6,13,49,11,3,21,80,0.27,0.313,0.457,0.77,96,0.345,94,184,4,5,4,2,3,*8/H
90,Brady Anderson*,30,BAL,AL,2.6,111,525,453,78,119,25,5,12,48,31,1,57,75,0.263,0.356,0.419,0.776,96,0.361,93,190,7,10,3,2,3,*78/9H
91,Bret Boone,25,CIN,NL,1.9,108,424,381,59,122,25,2,12,68,3,4,24,74,0.32,0.368,0.491,0.858,123,0.383,129,187,10,8,5,6,1,*4/H5
92,Gary Gaetti,35,KCR,AL,2.4,90,352,327,53,94,15,3,12,57,0,2,19,63,0.287,0.328,0.462,0.789,99,0.354,101,151,9,2,1,3,3,*5/3H
93,Tony Gwynn*,34,SDP,NL,4.2,110,475,419,79,165,35,1,12,64,5,0,48,19,0.394,0.454,0.568,1.022,169,0.452,179,238,20,2,1,5,16,*9/H8
94,John Jaha,28,MIL,AL,-0.2,84,338,291,45,70,14,0,12,39,3,3,32,75,0.241,0.332,0.412,0.745,88,0.33,84,120,8,10,1,4,3,3D/H
95,Gregg Jefferies#,26,STL,NL,1.9,103,447,397,52,129,27,1,12,55,12,5,45,26,0.325,0.391,0.489,0.88,130,0.384,129,194,9,1,0,4,12,*3/H
96,Kenny Lofton*,27,CLE,AL,7.2,112,523,459,105,160,32,9,12,57,60,12,52,56,0.349,0.412,0.536,0.948,145,0.437,151,246,5,2,4,6,5,*8/H
97,Dave Nilsson*,24,MIL,AL,0.7,109,440,397,51,109,28,3,12,69,1,0,34,61,0.275,0.326,0.451,0.777,95,0.339,87,179,7,0,1,8,9,2D/H3
98,John Olerud*,25,TOR,AL,3.2,108,453,384,47,114,29,2,12,67,1,2,61,53,0.297,0.393,0.477,0.869,124,0.387,126,183,11,3,0,5,12,*3/HD
99,Lou Whitaker*,37,DET,AL,2.5,92,372,322,67,97,21,2,12,43,2,0,41,47,0.301,0.377,0.491,0.867,122,0.381,119,158,8,1,3,5,4,*4H/D
100,Bernie Williams#,25,NYY,AL,3.2,108,475,408,80,118,29,1,12,57,16,9,61,54,0.289,0.384,0.453,0.837,120,0.373,120,185,11,3,1,2,2,*8/H
101,Sean Berry,28,MON,NL,0.5,103,359,320,43,89,19,2,11,41,14,0,32,50,0.278,0.347,0.453,0.8,106,0.357,99,145,7,3,2,2,7,*5/H
102,Wade Boggs*,36,NYY,AL,4.5,97,434,366,61,125,19,1,11,55,2,1,61,29,0.342,0.433,0.489,0.922,142,0.425,155,179,10,1,2,4,3,*5/H3
103,Chad Curtis,25,CAL,AL,2.1,114,506,453,67,116,23,4,11,50,25,11,37,69,0.256,0.317,0.397,0.714,83,0.335,89,180,10,5,7,4,0,*8
104,Shawon Dunston,31,CHC,NL,-0.2,88,356,331,38,92,19,0,11,35,3,8,16,48,0.278,0.313,0.435,0.748,94,0.325,92,144,4,2,5,2,3,*6/H
105,Steve Finley*,29,HOU,NL,2.6,94,417,373,64,103,16,5,11,33,13,7,28,52,0.276,0.329,0.434,0.764,102,0.348,107,162,3,2,13,1,0,*8/H
106,Mike Greenwell*,30,BOS,AL,0.3,95,374,327,60,88,25,1,11,45,2,2,38,26,0.269,0.348,0.453,0.8,102,0.35,96,148,12,4,0,5,6,*7/HD
107,Marquis Grissom,27,MON,NL,5.1,110,521,475,96,137,25,4,11,45,36,6,41,66,0.288,0.344,0.427,0.771,99,0.371,109,203,10,1,0,4,4,*8/H
108,Félix José#,29,KCR,AL,0.8,99,403,366,56,111,28,1,11,55,10,12,35,75,0.303,0.362,0.475,0.838,112,0.362,112,174,9,0,0,2,6,*9/H
109,Ron Karkovice,30,CHW,AL,1.1,77,248,207,33,44,9,1,11,29,0,3,36,68,0.213,0.325,0.425,0.75,94,0.328,91,88,0,0,2,3,2,*2H
110,Pedro Muñoz,25,MIN,AL,0.6,75,268,244,35,72,15,2,11,36,0,0,19,67,0.295,0.348,0.508,0.857,118,0.383,121,124,4,2,0,2,0,79D/H
111,Gerónimo Peña#,27,STL,NL,1.6,83,248,213,33,54,13,1,11,34,9,1,24,54,0.254,0.344,0.479,0.823,114,0.365,110,102,3,6,4,1,1,4H/5
112,Chris Sabo,32,BAL,AL,-0.2,68,288,258,41,66,15,3,11,42,1,1,20,38,0.256,0.32,0.465,0.786,96,0.356,99,120,8,5,4,1,2,59D/7H
113,Benito Santiago,29,FLA,NL,1.4,101,369,337,35,92,14,2,11,41,1,2,25,57,0.273,0.322,0.424,0.746,91,0.326,85,143,11,1,2,4,1,*2H
114,Ed Sprague,26,TOR,AL,-0.5,109,445,405,38,97,19,1,11,44,1,0,23,95,0.24,0.296,0.373,0.669,72,0.309,71,151,11,11,2,4,1,*5/3
115,Terry Steinbach,32,OAK,AL,3.1,103,403,369,51,105,21,2,11,57,2,1,26,62,0.285,0.327,0.442,0.768,104,0.342,103,163,10,0,1,6,4,*2/3D
116,José Valentín#,24,MIL,AL,2.5,97,331,285,47,68,19,0,11,46,12,3,38,75,0.239,0.33,0.421,0.751,90,0.344,88,120,1,2,4,2,1,*64/H5D
117,Eddie Williams,29,SDP,NL,0.8,49,196,175,32,58,11,1,11,42,0,1,15,26,0.331,0.392,0.594,0.986,156,0.419,157,104,10,3,2,1,1,3/H5
118,Eric Anthony*,26,SEA,AL,-0.8,79,288,262,31,62,14,1,10,30,6,2,23,66,0.237,0.297,0.412,0.709,80,0.312,71,108,7,0,2,1,4,7H9/8D
119,Tom Brunansky,33,2TM,AL,0,64,233,205,24,48,12,1,10,34,0,2,24,57,0.234,0.309,0.449,0.758,90,0.336,89,92,3,0,0,4,1,97/H3D
119,Tom Brunansky,33,MIL,AL,-0.2,16,29,28,2,6,2,0,0,0,0,0,1,9,0.214,0.241,0.286,0.527,34,0.268,40,8,1,0,0,0,0,/H93D
119,Tom Brunansky,33,BOS,AL,0.2,48,204,177,22,42,10,1,10,34,0,2,23,48,0.237,0.319,0.475,0.793,98,0.346,96,84,2,0,0,4,1,97/3D
120,Dave Clark*,31,PIT,NL,1.2,86,249,223,37,66,11,1,10,46,2,2,22,48,0.296,0.355,0.489,0.844,117,0.372,118,109,5,0,1,3,0,9H/7
121,Darrin Fletcher*,27,MON,NL,0.5,94,325,285,28,74,18,1,10,57,0,0,25,23,0.26,0.314,0.435,0.749,92,0.318,78,124,6,3,0,12,4,*2H
122,Rusty Greer*,25,TEX,AL,1.5,80,331,277,36,87,16,1,10,46,0,0,46,46,0.314,0.41,0.487,0.898,132,0.397,133,135,3,2,2,4,2,987/3H
123,Charlie Hayes,29,COL,NL,0.8,113,463,423,46,122,23,4,10,50,3,6,36,71,0.288,0.348,0.433,0.78,90,0.349,90,183,11,3,0,1,4,*5/H
124,Glenallen Hill,29,CHC,NL,1.1,89,299,269,48,80,12,1,10,38,19,6,29,57,0.297,0.365,0.461,0.826,115,0.381,122,124,5,0,0,1,0,*87H/9
125,Kent Hrbek*,34,MIN,AL,-0.2,81,317,274,34,74,11,0,10,53,0,0,37,28,0.27,0.353,0.42,0.773,99,0.342,94,115,8,1,0,5,6,3H/D
126,Darrin Jackson,30,CHW,AL,2.7,104,403,369,43,115,17,3,10,51,7,1,27,56,0.312,0.362,0.455,0.817,112,0.372,114,168,5,3,2,2,3,*98/H
127,Stan Javier#,30,OAK,AL,3.5,109,480,419,75,114,23,0,10,44,24,7,49,76,0.272,0.349,0.399,0.747,101,0.354,110,167,7,2,7,3,1,*87/H359
128,Howard Johnson#,33,COL,NL,-0.7,93,269,227,30,48,10,2,10,40,11,3,39,73,0.211,0.323,0.405,0.729,77,0.325,67,92,2,0,0,3,2,7H/3
129,Matt Mieske,26,MIL,AL,0.5,84,286,259,39,67,13,1,10,38,3,5,21,62,0.259,0.32,0.432,0.753,89,0.33,86,112,6,3,2,1,0,*9/7HD
130,Hal Morris*,29,CIN,NL,2.2,112,483,436,60,146,30,4,10,78,6,2,34,62,0.335,0.385,0.491,0.875,128,0.391,133,214,16,5,2,6,8,*3/H
131,Tim Raines#,34,CHW,AL,1.8,101,453,384,80,102,15,5,10,52,13,0,61,43,0.266,0.365,0.409,0.774,102,0.359,103,157,10,1,4,3,3,*7/H
132,David Segui#,27,NYM,NL,-0.9,92,375,336,46,81,17,1,10,43,0,0,33,43,0.241,0.308,0.387,0.695,81,0.31,74,130,6,1,1,3,6,*37/9H
133,Dave Winfield,42,MIN,AL,0.1,77,328,294,35,74,15,3,10,43,2,1,31,51,0.252,0.321,0.425,0.746,91,0.338,91,125,7,0,1,2,5,*D/9
134,Kurt Abbott,25,FLA,NL,0.1,101,371,345,41,86,17,3,9,33,3,0,16,98,0.249,0.291,0.394,0.685,76,0.307,68,136,5,5,3,2,1,*6/H
135,Jay Bell,28,PIT,NL,3.4,110,487,424,68,117,35,4,9,45,2,0,49,82,0.276,0.353,0.441,0.794,105,0.36,108,187,15,3,8,3,1,*6/H
136,Todd Benzinger#,31,SFG,NL,-0.6,107,352,328,32,87,13,2,9,31,2,1,17,84,0.265,0.304,0.399,0.703,87,0.315,84,131,3,2,3,2,4,*3H
137,Mike Blowers,29,SEA,AL,1,85,300,270,37,78,13,0,9,49,2,2,25,60,0.289,0.348,0.437,0.785,101,0.363,108,118,12,1,1,3,2,53H/7D9
138,Andújar Cedeño,24,HOU,NL,0.4,98,380,342,38,90,26,0,9,49,1,1,29,79,0.263,0.334,0.418,0.752,100,0.328,92,143,5,8,0,1,15,*6/H
139,Carlos Delgado*,22,TOR,AL,-0.6,43,159,130,17,28,2,0,9,24,1,1,25,46,0.215,0.352,0.438,0.791,103,0.346,98,57,5,3,0,1,4,7/H2
140,Mike Devereaux,31,BAL,AL,-1.3,85,330,301,35,61,8,2,9,33,1,2,22,72,0.203,0.256,0.332,0.588,48,0.269,41,100,6,1,2,4,0,*8/HD
141,Barry Larkin,30,CIN,NL,4,110,501,427,78,119,23,5,9,52,26,2,64,58,0.279,0.369,0.419,0.788,107,0.368,108,179,6,0,5,5,3,*6/H
142,Al Martin*,26,PIT,NL,1.4,82,313,276,48,79,12,4,9,33,15,6,34,56,0.286,0.367,0.457,0.824,113,0.368,113,126,3,2,0,1,3,*78/H
143,Mark McGwire,30,OAK,AL,1.5,47,172,135,26,34,3,0,9,25,0,0,37,40,0.252,0.413,0.474,0.887,138,0.412,152,64,3,0,0,0,3,3/DH
144,Orlando Merced#,27,PIT,NL,0.6,108,432,386,48,105,21,3,9,51,4,1,42,58,0.272,0.343,0.412,0.755,96,0.339,93,159,17,1,0,2,5,93/H
145,Rich Rowland,30,BOS,AL,0.3,46,129,118,14,27,3,0,9,20,0,0,11,35,0.229,0.295,0.483,0.778,94,0.332,83,57,2,0,0,0,0,2/HD3
146,Scott Servais,27,HOU,NL,-0.6,78,275,251,27,49,15,1,9,41,0,0,10,44,0.195,0.235,0.371,0.606,59,0.283,59,93,6,4,7,3,0,*2
147,John Valentin,27,BOS,AL,4.3,84,355,301,53,95,26,2,9,49,3,1,42,38,0.316,0.4,0.505,0.905,129,0.406,133,152,3,3,5,4,1,*6/DH
148,Randy Velarde,31,NYY,AL,1.1,77,310,280,47,78,16,1,9,34,4,2,22,61,0.279,0.338,0.439,0.777,103,0.353,106,123,7,4,2,2,0,65/74H9
149,Turner Ward#,29,MIL,AL,1.5,102,427,367,55,85,15,2,9,45,6,2,52,68,0.232,0.328,0.357,0.685,74,0.313,69,131,9,3,0,5,4,*879/H5
150,Roberto Kelly,29,2TM,NL,1.3,110,476,434,73,127,23,3,9,45,19,11,35,71,0.293,0.347,0.422,0.769,99,0.349,102,183,8,3,0,3,1,*8
150,Roberto Kelly,29,CIN,NL,0.6,47,195,179,29,54,8,0,3,21,9,8,11,35,0.302,0.351,0.397,0.747,96,0.332,97,71,3,3,0,1,1,8
150,Roberto Kelly,29,ATL,NL,0.6,63,281,255,44,73,15,3,6,24,10,3,24,36,0.286,0.345,0.439,0.784,102,0.361,106,112,5,0,0,2,0,8
151,Roberto Alomar#,26,TOR,AL,2.3,107,455,392,78,120,25,4,8,38,19,8,51,41,0.306,0.386,0.452,0.838,116,0.388,125,177,14,2,7,3,2,*4/H
152,Brett Butler*,37,LAD,NL,3.4,111,496,417,79,131,13,9,8,33,27,8,68,52,0.314,0.411,0.446,0.857,130,0.396,138,186,2,2,7,2,0,*8
153,Mariano Duncan,31,PHI,NL,0.5,88,374,347,49,93,22,1,8,48,10,2,17,72,0.268,0.306,0.406,0.713,83,0.325,80,141,10,4,2,4,1,456/3H
154,Tony Fernández#,32,CIN,NL,1.6,104,422,366,50,102,18,6,8,50,12,7,44,40,0.279,0.361,0.426,0.787,106,0.353,106,156,5,5,4,3,8,*5/64H
155,Chris Gomez,23,DET,AL,-0.5,84,336,296,32,76,19,0,8,53,5,3,33,64,0.257,0.336,0.402,0.738,90,0.329,86,119,8,3,3,1,0,64/H
156,Luis Gonzalez*,26,HOU,NL,1.6,112,450,392,57,107,29,4,8,67,15,13,49,57,0.273,0.353,0.429,0.782,108,0.342,107,168,10,3,0,6,6,*7/H
157,Jeffrey Hammonds,23,BAL,AL,1.1,68,274,250,45,74,18,2,8,31,5,0,17,39,0.296,0.339,0.48,0.819,105,0.366,102,120,3,2,0,5,1,9/7H
158,Rex Hudler,33,CAL,AL,0.8,56,136,124,17,37,8,0,8,20,2,2,6,28,0.298,0.326,0.556,0.882,123,0.366,113,69,7,0,4,2,0,47H/5D3
159,Reggie Jefferson#,25,SEA,AL,1.1,63,181,162,24,53,11,0,8,32,0,0,17,32,0.327,0.392,0.543,0.935,138,0.401,133,88,6,1,0,1,5,DH3/7
160,Ricky Jordan,29,PHI,NL,0.9,72,228,220,29,62,14,2,8,37,0,0,6,32,0.282,0.303,0.473,0.775,97,0.352,102,104,7,1,0,1,1,3H
161,Wally Joyner*,32,KCR,AL,1.4,97,417,363,52,113,20,3,8,57,3,2,47,43,0.311,0.386,0.449,0.835,113,0.378,116,163,12,0,2,5,3,*3D
162,Derrick May*,25,CHC,NL,0.8,100,378,345,43,98,19,2,8,51,3,2,30,34,0.284,0.34,0.42,0.76,98,0.348,103,145,11,0,1,2,4,*7H
163,Charlie O'Brien,34,ATL,NL,0.8,51,172,152,24,37,11,0,8,28,0,0,15,24,0.243,0.322,0.474,0.795,103,0.347,98,72,5,3,1,1,2,2/H
164,Joe Orsulak*,32,NYM,NL,-1.4,96,318,292,39,76,3,0,8,42,4,2,16,21,0.26,0.299,0.353,0.651,70,0.295,64,103,11,3,0,7,2,*97H8/3
165,Karl Rhodes*,25,CHC,NL,0.5,95,308,269,39,63,17,0,8,19,6,4,33,64,0.234,0.318,0.387,0.705,84,0.324,86,104,1,1,3,2,1,*8H7/9
166,Henry Rodríguez*,26,LAD,NL,-1.3,104,330,306,33,82,14,2,8,49,0,1,17,58,0.268,0.307,0.405,0.712,89,0.319,88,124,9,2,1,4,2,*73H/9
167,Terry Shumpert,27,KCR,AL,-0.2,64,202,183,28,44,6,2,8,24,18,3,13,39,0.24,0.289,0.426,0.716,80,0.322,68,78,0,0,5,1,0,45/HD6
168,J.T. Snow*,26,CAL,AL,-1.3,61,248,223,22,49,4,0,8,30,0,1,19,48,0.22,0.289,0.345,0.634,63,0.285,56,77,2,3,2,1,1,3
169,Ed Taubensee*,25,2TM,NL,0.9,66,205,187,29,53,8,2,8,21,2,0,15,31,0.283,0.333,0.476,0.809,110,0.359,108,89,3,0,1,2,2,2/H
169,Ed Taubensee*,25,HOU,NL,-0.2,5,10,10,0,1,0,0,0,0,0,0,0,3,0.1,0.1,0.1,0.2,-46,0.09,-78,1,1,0,0,0,0,/2H
169,Ed Taubensee*,25,CIN,NL,1.1,61,195,177,29,52,8,2,8,21,2,0,15,28,0.294,0.345,0.497,0.843,118,0.373,118,88,2,0,1,2,2,2/H
170,Alan Trammell,36,DET,AL,0,76,311,292,38,78,17,1,8,28,3,0,16,35,0.267,0.307,0.414,0.722,85,0.33,84,121,8,1,2,0,1,6D/H
171,Dwight Smith*,30,2TM,AL,0.1,73,210,196,31,55,7,2,8,30,2,4,12,37,0.281,0.324,0.459,0.783,98,0.339,95,90,3,1,0,1,1,7H/D89
171,Dwight Smith*,30,CAL,AL,-0.1,45,130,122,19,32,5,1,5,18,2,3,7,20,0.262,0.3,0.443,0.743,89,0.326,89,54,1,0,0,1,0,7H/D
171,Dwight Smith*,30,BAL,AL,0.2,28,80,74,12,23,2,1,3,12,0,1,5,17,0.311,0.363,0.486,0.849,113,0.36,106,36,2,1,0,0,1,7/HD89
172,Brad Ausmus,25,SDP,NL,0.5,101,366,327,45,82,12,1,7,24,5,1,30,63,0.251,0.314,0.358,0.672,77,0.306,71,117,8,1,6,2,12,*2/H3
173,Rico Brogna*,24,NYM,NL,1.2,39,138,131,16,46,11,2,7,20,1,0,6,29,0.351,0.38,0.626,1.006,158,0.444,170,82,2,0,1,0,0,3/H
174,Greg Gagne,32,KCR,AL,1,107,409,375,39,97,23,3,7,51,10,17,27,79,0.259,0.314,0.392,0.706,79,0.306,78,147,8,4,2,1,0,*6/H
175,Chris James,31,TEX,AL,1.2,52,159,133,28,34,8,4,7,19,0,0,20,38,0.256,0.361,0.534,0.895,129,0.393,129,71,3,3,1,2,0,9H/7
176,Randy Knorr,25,TOR,AL,-0.1,40,136,124,20,30,2,0,7,19,0,0,10,35,0.242,0.301,0.427,0.729,86,0.324,82,53,7,1,0,1,0,2/H
177,Jim Lindeman,32,NYM,NL,0.4,52,145,137,18,37,8,1,7,20,0,0,6,35,0.27,0.303,0.496,0.8,105,0.35,103,68,0,1,0,1,2,7H9/3
178,Tim Naehring,27,BOS,AL,2.1,80,339,297,41,82,18,1,7,42,1,3,30,56,0.276,0.349,0.414,0.764,94,0.361,106,123,11,4,7,1,1,45/36DH
179,Matt Nokes*,30,NYY,AL,0.5,28,85,79,11,23,3,0,7,19,0,0,5,16,0.291,0.329,0.595,0.924,137,0.385,127,47,1,0,0,1,0,2/HD3
180,Tom Pagnozzi,31,STL,NL,1.5,70,266,243,21,66,12,1,7,40,0,0,21,39,0.272,0.327,0.416,0.743,94,0.327,88,101,3,0,0,2,5,3-Feb
181,Terry Pendleton#,33,ATL,NL,0.1,77,324,309,25,78,18,3,7,30,2,0,12,57,0.252,0.28,0.398,0.678,73,0.305,67,123,8,0,3,0,3,*5
182,Rick Wilkins*,27,CHC,NL,1.5,100,358,313,44,71,25,2,7,39,4,3,40,86,0.227,0.317,0.387,0.703,83,0.327,88,121,3,2,1,2,5,*2H/3
183,Eric Young Sr.,27,COL,NL,0.7,90,275,228,37,62,13,1,7,30,18,7,38,17,0.272,0.378,0.43,0.808,98,0.377,105,98,3,2,5,2,1,7H/4
184,Kevin Bass#,35,HOU,NL,1.4,82,235,203,37,63,15,1,6,35,2,3,28,24,0.31,0.393,0.483,0.876,133,0.376,130,98,5,1,1,2,6,9H7
185,Damon Berryhill#,30,BOS,AL,0.1,82,276,255,30,67,17,2,6,34,0,1,19,59,0.263,0.312,0.416,0.727,83,0.33,83,106,6,0,0,2,0,2H/D
186,Craig Biggio,28,HOU,NL,4.6,114,511,437,88,139,44,5,6,56,39,4,62,58,0.318,0.411,0.483,0.893,138,0.422,148,211,5,8,2,2,1,*4/H
187,Jeff Blauser,28,ATL,NL,2.1,96,434,380,56,98,21,4,6,45,1,3,38,64,0.258,0.329,0.382,0.71,84,0.333,90,145,11,5,5,6,0,*6
188,Jeff Branson*,27,CIN,NL,0.5,58,116,109,18,31,4,1,6,16,0,0,5,16,0.284,0.316,0.505,0.82,111,0.347,101,55,4,0,2,0,2,H45/63
189,Greg Colbrunn,24,FLA,NL,1,47,168,155,17,47,10,0,6,31,1,1,9,27,0.303,0.345,0.484,0.829,112,0.375,119,75,3,2,0,2,0,3/H
190,Damion Easley,24,CAL,AL,-0.4,88,355,316,41,68,16,1,6,30,4,5,29,48,0.215,0.288,0.329,0.617,59,0.291,62,104,8,4,4,2,0,54/H
191,Mike Gallego,33,NYY,AL,2.4,89,357,306,39,73,17,1,6,41,0,1,38,46,0.239,0.327,0.359,0.686,81,0.325,87,110,4,4,5,4,1,64
192,Carlos García,26,PIT,NL,0.8,98,434,412,49,114,15,2,6,28,18,9,16,67,0.277,0.309,0.367,0.676,75,0.311,74,151,6,4,1,1,2,*4
193,Bernard Gilkey,27,STL,NL,0.9,105,431,380,52,96,22,1,6,45,15,8,39,65,0.253,0.336,0.363,0.7,85,0.332,92,138,6,10,0,2,2,*7/H
194,Mark Grace*,30,CHC,NL,2,106,454,403,55,120,23,3,6,44,0,1,48,41,0.298,0.37,0.414,0.784,106,0.36,111,167,10,0,0,3,5,*3/H
195,Rickey Henderson,35,OAK,AL,3.5,87,376,296,66,77,13,0,6,20,22,7,72,45,0.26,0.411,0.365,0.776,111,0.382,129,108,0,5,1,2,1,7D8/H
196,Don Mattingly*,33,NYY,AL,2.3,97,436,372,62,113,20,1,6,51,0,0,60,24,0.304,0.397,0.411,0.808,113,0.37,117,153,8,0,0,4,7,*3/H
197,José Oliva,23,ATL,NL,0.7,19,66,59,9,17,5,0,6,11,0,1,7,10,0.288,0.364,0.678,1.042,162,0.429,162,40,2,0,0,0,0,5/H
198,Greg Pirkl,23,SEA,AL,0.3,19,56,53,7,14,3,0,6,11,0,0,1,12,0.264,0.286,0.66,0.946,134,0.376,116,35,1,1,0,1,1,D/3H
199,Cory Snyder,31,LAD,NL,-1.2,73,171,153,18,36,6,0,6,18,1,0,14,47,0.235,0.3,0.392,0.692,84,0.303,73,60,5,1,1,2,4,7H9/3564
200,Luis Sojo,29,SEA,AL,1.1,63,227,213,32,59,9,2,6,22,2,1,8,25,0.277,0.308,0.423,0.731,86,0.327,82,90,2,2,3,1,0,46/HD5
201,Andy Van Slyke*,33,PIT,NL,0.5,105,431,374,41,92,18,3,6,30,7,0,52,72,0.246,0.34,0.358,0.698,82,0.326,81,134,9,2,0,2,7,*8/H
202,Eddie Zambrano,28,CHC,NL,0.9,67,133,116,17,30,7,0,6,18,2,1,16,29,0.259,0.353,0.474,0.828,115,0.377,123,55,3,1,0,0,0,H9/375
203,Wes Chamberlain,28,2TM,2LG,-0.4,75,248,233,20,61,14,1,6,26,0,2,15,50,0.262,0.306,0.408,0.714,81,0.318,77,95,9,0,0,0,2,9HD
203,Wes Chamberlain,28,PHI,NL,0.1,24,72,69,7,19,5,0,2,6,0,0,3,12,0.275,0.306,0.435,0.74,89,0.336,90,30,3,0,0,0,0,9/H
